70, Female, Meghalaya, 6857177368, 160.65 cm, 65.18 kg
1, Female, West Bengal, 8672357741, 147.96 cm, 70.43 kg
91, Male, Haryana, 6374364276, 150.54 cm, 63.98 kg
76, Female, Maharashtra, 7165885621, 164.76 cm, 66.06 kg
86, Female, Mizoram, 8125786365, 162.05 cm, 66.31 kg
41, Female, Odisha, 6682561454, 160.22 cm, 73.8 kg
44, Female, Chhattisgarh, 6314643484, 164.12 cm, 73.18 kg
13, Female, Punjab, 7522284235, 173.26 cm, 68.53 kg
30, Female, Uttar Pradesh, 6771388154, 147.84 cm, 61.63 kg
19, Male, Mizoram, 9758864421, 164.81 cm, 66.93 kg
9, Female, Himachal Pradesh, 9312713665, 165.35 cm, 68.45 kg
12, Male, Mizoram, 8717331824, 171.61 cm, 71.78 kg
76, Male, Sikkim, 7621664478, 180.51 cm, 69.69 kg
26, Female, Bihar, 7424338881, 165.12 cm, 71.53 kg
25, Female, Andhra Pradesh, 7374552482, 180.31 cm, 62.8 kg
72, Male, Goa, 7642732132, 165.43 cm, 69.75 kg
15, Male, Uttar Pradesh, 8424876213, 159.89 cm, 67.44 kg
4, Male, Arunachal Pradesh, 9127444383, 154.09 cm, 73.74 kg
21, Male, Uttar Pradesh, 6523841756, 162.44 cm, 74.74 kg
41, Male, Himachal Pradesh, 7336467566, 162.35 cm, 65.49 kg
52, Male, Nagaland, 9462676415, 162.61 cm, 72.13 kg
98, Female, Kerala, 9778465835, 170.86 cm, 63.82 kg
44, Female, Bihar, 9158836273, 158.85 cm, 77.46 kg
76, Female, West Bengal, 8237251617, 161.74 cm, 69.76 kg
64, Female, Maharashtra, 7618747444, 165.59 cm, 71.21 kg
76, Female, Bihar, 8428424653, 182.83 cm, 70.44 kg
83, Female, Rajasthan, 6563332477, 150.57 cm, 78.6 kg
83, Male, Nagaland, 7682665877, 163.7 cm, 81.13 kg
5, Male, Bihar, 8233348235, 171.71 cm, 73.24 kg
85, Male, Manipur, 6364147268, 156.12 cm, 64.24 kg
36, Male, Punjab, 7226652887, 172.25 cm, 64.13 kg
63, Female, Maharashtra, 7118784356, 167.12 cm, 72.55 kg
36, Male, Tripura, 7153611234, 165.29 cm, 82.54 kg
62, Male, Mizoram, 8513215175, 148.95 cm, 75.02 kg
59, Female, Chhattisgarh, 7344587825, 146.27 cm, 75.33 kg
58, Male, Jharkhand, 9625312416, 146.09 cm, 67.26 kg
1, Female, Assam, 7817377848, 172.39 cm, 75.59 kg
30, Female, Assam, 9726445172, 169.92 cm, 72.62 kg
51, Female, Himachal Pradesh, 7111265363, 152.74 cm, 64.64 kg
70, Male, Rajasthan, 8524664643, 153.38 cm, 54.78 kg
96, Male, Chhattisgarh, 6625233681, 156.66 cm, 66.48 kg
86, Female, Karnataka, 6444823665, 155.44 cm, 66.45 kg
42, Male, Andhra Pradesh, 7685544488, 153.37 cm, 68.43 kg
75, Male, Meghalaya, 8764653356, 157.38 cm, 68.21 kg
86, Male, Telangana, 9615418474, 166.73 cm, 65.52 kg
24, Female, Nagaland, 8117452545, 169.01 cm, 61.64 kg
93, Female, West Bengal, 9373264834, 147.89 cm, 67.8 kg
2, Female, Andhra Pradesh, 6478845774, 143.84 cm, 72.46 kg
25, Female, Jharkhand, 6658442617, 165.49 cm, 63.83 kg
6, Female, Tamil Nadu, 7223265282, 153.87 cm, 68.5 kg
39, Male, Tripura, 7868182551, 162.95 cm, 68.87 kg
65, Female, Nagaland, 7137656857, 156.33 cm, 66.0 kg
55, Female, Goa, 9275272175, 153.19 cm, 71.42 kg
79, Female, Himachal Pradesh, 9887361355, 157.08 cm, 73.96 kg
70, Female, Andhra Pradesh, 9175355383, 160.03 cm, 70.17 kg
20, Female, West Bengal, 6542857624, 158.39 cm, 74.1 kg
53, Female, Haryana, 9114633533, 150.36 cm, 76.22 kg
68, Female, Karnataka, 8244781183, 161.33 cm, 68.03 kg
80, Male, Andhra Pradesh, 7775138334, 184.76 cm, 66.69 kg
83, Female, Uttar Pradesh, 8174333517, 181.38 cm, 64.51 kg
12, Male, Sikkim, 8647462312, 166.7 cm, 67.97 kg
75, Female, Tamil Nadu, 8321155144, 147.37 cm, 69.64 kg
63, Male, West Bengal, 7325857643, 154.55 cm, 64.0 kg
96, Male, West Bengal, 7543332424, 139.72 cm, 78.32 kg
99, Female, Arunachal Pradesh, 6838565624, 160.07 cm, 65.34 kg
23, Male, Chhattisgarh, 7753176852, 163.22 cm, 68.77 kg
75, Female, Bihar, 9723283675, 183.43 cm, 68.07 kg
99, Female, Karnataka, 8742425663, 163.75 cm, 76.78 kg
44, Female, Uttarakhand, 6542558857, 169.37 cm, 72.02 kg
6, Female, Nagaland, 9414747864, 158.89 cm, 76.19 kg
70, Male, Himachal Pradesh, 6458112833, 159.83 cm, 72.11 kg
45, Male, Gujarat, 6548862468, 155.31 cm, 69.22 kg
43, Female, Goa, 8388744821, 175.29 cm, 68.53 kg
83, Female, Mizoram, 8783517585, 151.67 cm, 62.9 kg
88, Male, Mizoram, 6145873121, 161.14 cm, 62.7 kg
41, Male, Chhattisgarh, 6414635351, 151.03 cm, 67.28 kg
63, Female, Tripura, 8388843828, 159.25 cm, 64.42 kg
15, Male, Odisha, 7257244412, 188.92 cm, 61.91 kg
24, Male, Goa, 7866432532, 157.91 cm, 64.89 kg
5, Female, Goa, 8826725721, 160.75 cm, 63.57 kg
7, Female, Uttarakhand, 6474435558, 163.19 cm, 63.41 kg
19, Male, Maharashtra, 9581335715, 166.04 cm, 75.75 kg
50, Male, Himachal Pradesh, 8744837443, 151.0 cm, 63.88 kg
12, Male, Gujarat, 8178321535, 176.41 cm, 71.81 kg
25, Female, Kerala, 9143664656, 141.8 cm, 72.2 kg
46, Male, Gujarat, 9533281732, 152.35 cm, 69.22 kg
40, Female, Chhattisgarh, 7238725174, 152.85 cm, 58.1 kg
33, Male, West Bengal, 8573251653, 151.69 cm, 86.04 kg
24, Male, Himachal Pradesh, 9856675613, 155.43 cm, 74.58 kg
25, Male, Manipur, 9366484446, 154.85 cm, 79.54 kg
30, Male, Uttar Pradesh, 8676248567, 166.18 cm, 69.33 kg
65, Female, Gujarat, 7745785722, 177.78 cm, 65.84 kg
97, Female, Chhattisgarh, 7747422775, 175.22 cm, 58.38 kg
14, Male, Uttar Pradesh, 8287215676, 187.71 cm, 66.69 kg
57, Female, Maharashtra, 9347226545, 166.14 cm, 58.21 kg
83, Female, Goa, 9717122427, 164.58 cm, 67.28 kg
50, Male, Tripura, 7854423542, 155.96 cm, 63.9 kg
92, Female, Mizoram, 9114252838, 177.03 cm, 70.81 kg
57, Female, Punjab, 6177572448, 147.95 cm, 66.57 kg
41, Male, Madhya Pradesh, 9582771814, 149.72 cm, 70.41 kg
58, Male, Andhra Pradesh, 9255124164, 166.41 cm, 66.27 kg
97, Male, Assam, 7333277713, 159.6 cm, 62.84 kg
66, Male, Andhra Pradesh, 9711562267, 173.7 cm, 67.85 kg
83, Male, Assam, 8347166216, 154.85 cm, 82.32 kg
42, Female, Odisha, 8865256858, 153.83 cm, 62.87 kg
54, Female, Rajasthan, 7373388561, 156.87 cm, 64.93 kg
4, Female, Jharkhand, 7245862531, 147.31 cm, 71.38 kg
6, Male, Maharashtra, 8328476346, 173.05 cm, 61.03 kg
69, Male, Manipur, 8378384856, 175.35 cm, 68.32 kg
78, Female, Sikkim, 6732152445, 148.24 cm, 66.42 kg
17, Male, Tamil Nadu, 8415512278, 152.91 cm, 74.03 kg
46, Male, Manipur, 7758545618, 158.0 cm, 73.61 kg
61, Female, Himachal Pradesh, 7786214288, 156.24 cm, 78.45 kg
62, Male, Karnataka, 6188836441, 159.08 cm, 76.05 kg
62, Male, Odisha, 9763514436, 158.51 cm, 69.1 kg
18, Female, Arunachal Pradesh, 8776231631, 161.06 cm, 78.8 kg
49, Female, Punjab, 9135333784, 176.66 cm, 76.51 kg
72, Male, Uttarakhand, 6226158411, 152.87 cm, 75.35 kg
40, Male, West Bengal, 8415251248, 152.78 cm, 63.81 kg
83, Male, Maharashtra, 8158472373, 160.06 cm, 70.77 kg
6, Male, Odisha, 8678364775, 155.27 cm, 62.1 kg
56, Male, Telangana, 8832375384, 174.49 cm, 76.14 kg
8, Female, Tripura, 7788181581, 170.23 cm, 74.45 kg
87, Male, Mizoram, 9712148248, 147.56 cm, 64.23 kg
70, Female, Kerala, 9367764215, 153.76 cm, 78.31 kg
82, Male, Rajasthan, 6662368717, 170.74 cm, 70.65 kg
18, Male, Chhattisgarh, 7734735881, 160.4 cm, 67.99 kg
15, Female, Nagaland, 8862765262, 158.59 cm, 67.22 kg
97, Female, Punjab, 7538875811, 153.52 cm, 61.32 kg
66, Male, Tamil Nadu, 8754743416, 170.21 cm, 74.44 kg
25, Male, Rajasthan, 6217536618, 145.79 cm, 66.19 kg
49, Female, Maharashtra, 6427785135, 169.68 cm, 75.48 kg
5, Female, Himachal Pradesh, 8132512362, 167.95 cm, 66.97 kg
10, Female, Rajasthan, 8415882733, 145.17 cm, 74.14 kg
5, Female, Kerala, 8372714438, 174.71 cm, 74.81 kg
7, Female, Meghalaya, 9234877153, 158.94 cm, 68.85 kg
59, Male, Andhra Pradesh, 8484846235, 164.0 cm, 75.34 kg
8, Male, Himachal Pradesh, 9171481235, 167.16 cm, 72.93 kg
85, Male, Haryana, 8766136336, 160.93 cm, 61.01 kg
98, Female, Madhya Pradesh, 9521843616, 148.77 cm, 71.06 kg
96, Male, Madhya Pradesh, 6375758711, 154.73 cm, 69.25 kg
35, Male, Assam, 7621442872, 147.51 cm, 71.17 kg
2, Female, Arunachal Pradesh, 7322547355, 151.72 cm, 69.98 kg
5, Male, Gujarat, 9281837386, 170.71 cm, 67.38 kg
7, Female, Punjab, 8836763522, 181.4 cm, 70.42 kg
77, Female, Tamil Nadu, 9825274876, 179.95 cm, 72.68 kg
4, Female, Telangana, 8664524366, 148.33 cm, 56.88 kg
99, Female, Sikkim, 9876867368, 157.04 cm, 67.45 kg
35, Female, Mizoram, 6786668255, 162.53 cm, 68.45 kg
69, Male, Goa, 8116268684, 166.06 cm, 77.32 kg
2, Male, Manipur, 6258314175, 146.66 cm, 72.69 kg
21, Female, Manipur, 8273771383, 170.35 cm, 82.31 kg
3, Male, Gujarat, 6256768317, 154.54 cm, 71.67 kg
59, Male, Uttar Pradesh, 9156858343, 158.01 cm, 62.83 kg
14, Male, Telangana, 7744662515, 145.23 cm, 71.05 kg
27, Male, Tamil Nadu, 7255183217, 162.96 cm, 61.83 kg
15, Female, Mizoram, 8151376656, 140.27 cm, 67.38 kg
1, Male, Madhya Pradesh, 6224711545, 158.76 cm, 74.31 kg
93, Female, Manipur, 6741557273, 163.77 cm, 70.64 kg
61, Male, Nagaland, 8326641232, 150.4 cm, 69.38 kg
86, Female, Tripura, 6331271165, 173.11 cm, 75.66 kg
55, Female, Punjab, 6677884564, 158.5 cm, 58.32 kg
32, Male, Tamil Nadu, 6277375153, 156.53 cm, 67.73 kg
90, Male, Haryana, 9821416143, 170.0 cm, 70.5 kg
38, Male, Bihar, 9465422568, 151.01 cm, 66.48 kg
52, Female, Tamil Nadu, 8714551681, 159.7 cm, 74.12 kg
69, Female, Gujarat, 6772778468, 164.26 cm, 68.49 kg
75, Male, Goa, 8114125755, 158.13 cm, 75.92 kg
48, Male, Haryana, 9114821536, 161.2 cm, 77.98 kg
93, Male, Kerala, 9827826681, 166.81 cm, 71.24 kg
80, Female, Bihar, 8682538562, 154.74 cm, 63.38 kg
84, Male, West Bengal, 7452885241, 147.96 cm, 76.15 kg
13, Male, Odisha, 9552623287, 153.03 cm, 61.7 kg
48, Male, Chhattisgarh, 6337426442, 174.67 cm, 62.69 kg
66, Male, Mizoram, 9226455648, 166.13 cm, 68.93 kg
44, Female, Madhya Pradesh, 7228261181, 166.62 cm, 69.97 kg
44, Female, Assam, 6332422374, 170.69 cm, 73.48 kg
85, Female, West Bengal, 8464822583, 152.75 cm, 68.9 kg
88, Female, Rajasthan, 7381175558, 161.09 cm, 69.42 kg
24, Male, Manipur, 8852273113, 153.53 cm, 65.77 kg
78, Female, Bihar, 6644571412, 169.17 cm, 78.64 kg
54, Male, Tamil Nadu, 9576251657, 158.98 cm, 64.61 kg
42, Female, Telangana, 8375733271, 163.37 cm, 71.74 kg
2, Female, Mizoram, 7878225256, 153.37 cm, 72.62 kg
33, Female, Goa, 7832257585, 159.95 cm, 69.38 kg
41, Female, Rajasthan, 6154485583, 150.46 cm, 67.51 kg
60, Female, Karnataka, 9185753476, 160.02 cm, 70.3 kg
57, Male, Mizoram, 9816813618, 172.16 cm, 75.47 kg
50, Female, Tamil Nadu, 6566122846, 153.8 cm, 73.58 kg
87, Male, Assam, 6522438576, 146.92 cm, 77.98 kg
72, Female, Maharashtra, 9376788318, 154.16 cm, 73.39 kg
13, Male, Mizoram, 6653547648, 150.38 cm, 65.93 kg
10, Male, Jharkhand, 8772231147, 151.44 cm, 72.33 kg
50, Male, Tripura, 9333443351, 159.58 cm, 68.28 kg
2, Male, Telangana, 6627263724, 169.44 cm, 63.21 kg
86, Male, Kerala, 9558268737, 154.79 cm, 67.45 kg
32, Female, Chhattisgarh, 8385116641, 152.44 cm, 58.55 kg
28, Female, Manipur, 7582375281, 179.55 cm, 79.06 kg
14, Female, Meghalaya, 8548455828, 165.9 cm, 72.91 kg
69, Male, West Bengal, 6557532355, 152.59 cm, 61.36 kg
36, Female, Madhya Pradesh, 7724585633, 152.09 cm, 68.49 kg
24, Female, Odisha, 8848238885, 151.58 cm, 70.49 kg
68, Female, Punjab, 8152256776, 168.23 cm, 76.78 kg
46, Male, Tripura, 9517668368, 172.39 cm, 70.17 kg
44, Female, Sikkim, 7342643454, 161.7 cm, 68.3 kg
12, Male, Sikkim, 9151318121, 161.1 cm, 69.5 kg
91, Male, Gujarat, 7268556178, 158.83 cm, 61.86 kg
54, Male, Himachal Pradesh, 9567231255, 162.1 cm, 67.37 kg
26, Female, Odisha, 9264274636, 160.02 cm, 68.72 kg
9, Male, West Bengal, 6548421518, 159.15 cm, 72.99 kg
79, Female, Mizoram, 6333366778, 160.82 cm, 63.97 kg
96, Female, Bihar, 7748527836, 161.33 cm, 63.16 kg
53, Female, Tripura, 6716716688, 147.96 cm, 64.09 kg
56, Female, Meghalaya, 9155214674, 166.48 cm, 67.18 kg
5, Male, Manipur, 8813651182, 155.82 cm, 78.56 kg
6, Male, Nagaland, 6523567716, 135.83 cm, 73.3 kg
45, Female, Manipur, 6167438714, 178.14 cm, 70.27 kg
36, Male, Punjab, 6112825462, 167.84 cm, 66.7 kg
1, Female, Rajasthan, 6138266677, 151.16 cm, 63.19 kg
38, Male, Chhattisgarh, 8461473183, 183.17 cm, 70.0 kg
56, Female, Karnataka, 8173282455, 160.97 cm, 75.34 kg
25, Male, Bihar, 6873616474, 154.81 cm, 67.58 kg
26, Female, Assam, 7387835814, 149.58 cm, 70.36 kg
6, Female, Bihar, 9542417356, 152.51 cm, 65.77 kg
15, Male, Gujarat, 8423148837, 158.39 cm, 66.6 kg
85, Female, Rajasthan, 6532218122, 154.46 cm, 63.02 kg
9, Male, Telangana, 8411514816, 153.55 cm, 63.48 kg
68, Female, Uttar Pradesh, 6636455471, 140.65 cm, 66.24 kg
62, Female, Jharkhand, 6888746123, 145.82 cm, 66.16 kg
68, Female, Jharkhand, 6771146464, 169.69 cm, 67.69 kg
27, Male, Bihar, 7458313236, 157.98 cm, 80.73 kg
63, Male, Haryana, 6485161571, 150.66 cm, 66.85 kg
49, Female, Madhya Pradesh, 7271752117, 164.9 cm, 71.15 kg
37, Male, Haryana, 6745453416, 134.45 cm, 67.56 kg
48, Female, Tamil Nadu, 8873554356, 143.6 cm, 69.98 kg
31, Female, Tripura, 7627518567, 165.33 cm, 66.62 kg
83, Male, Chhattisgarh, 7421356577, 145.18 cm, 70.34 kg
59, Male, Odisha, 8668382415, 156.92 cm, 68.57 kg
92, Male, Haryana, 9553477271, 170.66 cm, 69.95 kg
95, Female, Odisha, 6368662284, 178.37 cm, 75.02 kg
74, Female, Karnataka, 8122527436, 160.22 cm, 78.5 kg
48, Male, Tripura, 8718227888, 162.3 cm, 74.53 kg
47, Male, Punjab, 8527171841, 151.31 cm, 70.6 kg
72, Male, Tamil Nadu, 8173157481, 163.05 cm, 71.65 kg
46, Female, Rajasthan, 8355431627, 146.34 cm, 75.19 kg
72, Female, Rajasthan, 6473333478, 146.04 cm, 66.02 kg
93, Female, Madhya Pradesh, 6668721358, 172.69 cm, 79.57 kg
85, Male, Meghalaya, 9637551534, 162.57 cm, 67.12 kg
31, Male, Kerala, 9737162326, 166.23 cm, 67.04 kg
25, Male, Telangana, 9331176651, 154.53 cm, 76.78 kg
28, Female, Maharashtra, 7138276782, 165.82 cm, 73.91 kg
76, Female, Telangana, 9633633167, 167.62 cm, 77.54 kg
3, Male, Jharkhand, 7883325773, 161.43 cm, 76.17 kg
19, Female, Kerala, 6827236231, 146.23 cm, 73.69 kg
53, Female, Mizoram, 8627728537, 156.59 cm, 78.05 kg
78, Male, Chhattisgarh, 8166246268, 181.67 cm, 64.02 kg
10, Female, Manipur, 8426612444, 170.5 cm, 79.52 kg
2, Female, Karnataka, 7713322114, 145.95 cm, 74.47 kg
33, Female, West Bengal, 9587834314, 165.32 cm, 63.33 kg
66, Female, Tripura, 8264713175, 144.4 cm, 69.81 kg
81, Male, Andhra Pradesh, 6484111524, 168.6 cm, 72.09 kg
7, Female, Odisha, 9841335722, 172.6 cm, 73.49 kg
13, Male, Uttar Pradesh, 8784835231, 146.59 cm, 71.96 kg
97, Female, Meghalaya, 6187248564, 157.81 cm, 77.07 kg
52, Female, Uttarakhand, 8562844162, 158.77 cm, 67.65 kg
40, Male, Goa, 7147751786, 184.24 cm, 65.02 kg
67, Female, Tripura, 9283443357, 162.54 cm, 64.32 kg
98, Male, Meghalaya, 6475356443, 168.78 cm, 77.68 kg
18, Female, Andhra Pradesh, 7444416568, 142.38 cm, 66.8 kg
13, Male, Punjab, 6116675733, 155.88 cm, 67.36 kg
28, Female, Odisha, 8671557682, 156.03 cm, 73.38 kg
14, Female, Punjab, 7741777384, 160.72 cm, 69.34 kg
46, Female, Nagaland, 6646427426, 177.31 cm, 59.26 kg
25, Male, Chhattisgarh, 8355372644, 153.18 cm, 74.09 kg
91, Female, Rajasthan, 7178485283, 136.93 cm, 76.9 kg
29, Male, Maharashtra, 9643361268, 156.93 cm, 70.24 kg
1, Female, Mizoram, 7761455316, 156.1 cm, 65.35 kg
32, Male, Assam, 7755471421, 159.03 cm, 71.9 kg
8, Female, Arunachal Pradesh, 8262353836, 152.27 cm, 62.72 kg
89, Female, Madhya Pradesh, 9268447246, 168.14 cm, 71.51 kg
6, Male, Gujarat, 9358267667, 150.23 cm, 78.64 kg
27, Male, Goa, 6876423675, 157.9 cm, 71.71 kg
68, Female, Arunachal Pradesh, 8771528511, 171.38 cm, 73.02 kg
38, Male, Maharashtra, 7573836832, 175.84 cm, 75.76 kg
99, Male, Meghalaya, 9477322652, 165.18 cm, 68.29 kg
18, Female, Maharashtra, 7835458454, 143.86 cm, 71.33 kg
59, Male, Punjab, 9817875263, 161.42 cm, 69.04 kg
98, Female, Himachal Pradesh, 6111655422, 159.08 cm, 68.73 kg
87, Female, Arunachal Pradesh, 7775762411, 167.53 cm, 65.95 kg
44, Male, Uttar Pradesh, 8216858326, 145.06 cm, 68.93 kg
50, Female, Arunachal Pradesh, 8466728425, 183.41 cm, 68.79 kg
64, Male, Chhattisgarh, 6463723468, 157.47 cm, 65.82 kg
31, Male, Punjab, 8826872886, 169.55 cm, 73.73 kg
53, Female, Mizoram, 9253385675, 155.67 cm, 64.74 kg
93, Male, Odisha, 8182546617, 165.71 cm, 81.03 kg
78, Male, Mizoram, 9536513112, 144.31 cm, 65.62 kg
87, Male, Karnataka, 6541616238, 159.4 cm, 73.59 kg
68, Female, Madhya Pradesh, 7866134678, 164.72 cm, 71.78 kg
38, Female, Karnataka, 9758816518, 158.97 cm, 71.97 kg
60, Male, Uttar Pradesh, 8277815826, 160.68 cm, 64.16 kg
40, Male, Tamil Nadu, 7777532127, 161.23 cm, 67.91 kg
90, Female, Uttarakhand, 9553455481, 172.6 cm, 71.72 kg
35, Male, Odisha, 9243582838, 161.6 cm, 69.32 kg
83, Male, Himachal Pradesh, 8613715473, 138.56 cm, 73.38 kg
45, Male, Himachal Pradesh, 8421138288, 166.65 cm, 66.86 kg
56, Male, Madhya Pradesh, 8885344544, 156.14 cm, 68.68 kg
28, Female, Chhattisgarh, 6832763531, 167.42 cm, 64.07 kg
17, Female, Tripura, 8314538858, 170.02 cm, 65.75 kg
75, Female, Kerala, 7723437136, 155.87 cm, 63.9 kg
16, Male, Gujarat, 8747753222, 165.71 cm, 70.21 kg
24, Male, Assam, 7353223462, 157.23 cm, 68.88 kg
32, Female, Maharashtra, 6516214375, 168.7 cm, 79.17 kg
25, Female, Rajasthan, 8227718214, 159.32 cm, 68.62 kg
16, Female, Arunachal Pradesh, 6264421567, 156.6 cm, 61.16 kg
15, Female, Arunachal Pradesh, 9517363118, 138.78 cm, 68.06 kg
39, Male, Bihar, 7213548134, 153.64 cm, 65.29 kg
77, Female, Assam, 7532747154, 158.28 cm, 72.28 kg
28, Male, Odisha, 9236712576, 151.7 cm, 64.58 kg
41, Male, Karnataka, 8836237333, 155.3 cm, 66.64 kg
74, Female, Arunachal Pradesh, 8355585544, 151.83 cm, 57.39 kg
65, Female, Himachal Pradesh, 6183542474, 140.32 cm, 69.9 kg
48, Female, Odisha, 9631648618, 164.05 cm, 73.88 kg
18, Female, Madhya Pradesh, 8642737478, 164.14 cm, 59.35 kg
94, Female, Nagaland, 9744238127, 150.46 cm, 65.62 kg
23, Female, Jharkhand, 9674855353, 166.3 cm, 63.56 kg
67, Female, Meghalaya, 9382722786, 144.12 cm, 67.86 kg
98, Female, West Bengal, 6487141545, 155.45 cm, 75.24 kg
48, Male, Gujarat, 7162665886, 168.67 cm, 71.16 kg
51, Female, Odisha, 9667256524, 160.76 cm, 77.37 kg
25, Female, Punjab, 9528462735, 165.78 cm, 64.68 kg
81, Male, Mizoram, 6362876148, 144.31 cm, 65.73 kg
42, Male, Tamil Nadu, 8534344467, 149.83 cm, 70.09 kg
62, Female, Tamil Nadu, 7337776142, 140.24 cm, 67.38 kg
78, Male, Mizoram, 7535834216, 160.62 cm, 62.97 kg
73, Female, Sikkim, 6538315221, 158.4 cm, 74.93 kg
11, Female, Karnataka, 6877172672, 160.91 cm, 75.04 kg
31, Male, Tripura, 7173581816, 160.27 cm, 71.9 kg
7, Male, Tamil Nadu, 8634571311, 178.95 cm, 69.65 kg
24, Male, Himachal Pradesh, 7725151864, 159.38 cm, 66.19 kg
27, Male, Himachal Pradesh, 8141136471, 160.65 cm, 69.89 kg
12, Female, Uttar Pradesh, 6217311333, 146.83 cm, 67.08 kg
54, Female, Odisha, 7427718718, 164.22 cm, 64.03 kg
87, Female, Nagaland, 6386544775, 157.78 cm, 67.62 kg
54, Male, Rajasthan, 7643411552, 153.94 cm, 75.54 kg
12, Male, Andhra Pradesh, 8314843841, 158.72 cm, 72.48 kg
17, Male, Jharkhand, 9541885822, 148.65 cm, 64.43 kg
64, Male, Jharkhand, 7371654135, 158.15 cm, 69.13 kg
17, Female, Tripura, 8172381261, 155.95 cm, 71.06 kg
71, Female, West Bengal, 7614584388, 171.2 cm, 65.24 kg
10, Female, Telangana, 7252455752, 158.72 cm, 66.83 kg
46, Male, Odisha, 6582454245, 168.42 cm, 72.78 kg
21, Male, Odisha, 7143643183, 162.61 cm, 63.67 kg
21, Female, West Bengal, 9628848245, 161.83 cm, 68.2 kg
82, Male, Uttar Pradesh, 7128111422, 150.11 cm, 64.32 kg
42, Male, Maharashtra, 7464241274, 157.65 cm, 69.64 kg
58, Female, Himachal Pradesh, 6364112615, 164.88 cm, 75.0 kg
84, Female, Mizoram, 6536841333, 146.26 cm, 66.29 kg
65, Male, Andhra Pradesh, 6728482745, 169.59 cm, 59.71 kg
38, Female, Tamil Nadu, 6768471555, 143.15 cm, 71.86 kg
71, Male, Nagaland, 6251237316, 185.73 cm, 68.27 kg
49, Female, Goa, 7752875513, 163.91 cm, 70.95 kg
72, Male, Kerala, 8657684551, 149.71 cm, 72.73 kg
12, Female, Madhya Pradesh, 9545731152, 163.28 cm, 70.72 kg
33, Male, Karnataka, 6551888531, 158.89 cm, 71.7 kg
94, Male, Odisha, 8473388652, 158.04 cm, 64.45 kg
57, Female, Sikkim, 7763884553, 145.66 cm, 68.97 kg
80, Female, Arunachal Pradesh, 6137417371, 150.0 cm, 67.4 kg
81, Female, Bihar, 6265143828, 150.16 cm, 74.03 kg
16, Female, Meghalaya, 9867382477, 167.37 cm, 73.72 kg
95, Female, Mizoram, 7568457113, 178.14 cm, 69.18 kg
51, Male, Kerala, 6873532874, 173.64 cm, 68.2 kg
81, Male, Gujarat, 8474362378, 158.92 cm, 68.63 kg
19, Female, Nagaland, 8343345818, 178.38 cm, 65.92 kg
94, Male, Sikkim, 7236385558, 166.55 cm, 68.86 kg
46, Male, Bihar, 8788343313, 147.7 cm, 73.19 kg
18, Male, Manipur, 7882325363, 158.79 cm, 72.92 kg
17, Female, Meghalaya, 6836322135, 161.06 cm, 67.38 kg
99, Male, Bihar, 9674158236, 147.01 cm, 67.16 kg
60, Female, Rajasthan, 6586756446, 153.43 cm, 66.23 kg
72, Male, Jharkhand, 8447354746, 174.62 cm, 67.97 kg
29, Male, Madhya Pradesh, 6124514611, 162.48 cm, 78.39 kg
48, Female, Sikkim, 8871337322, 162.64 cm, 60.04 kg
85, Female, Goa, 8574542367, 183.71 cm, 70.24 kg
24, Male, Himachal Pradesh, 6136375381, 150.53 cm, 78.76 kg
40, Female, Haryana, 6417576877, 146.49 cm, 72.23 kg
85, Female, Chhattisgarh, 6826658647, 158.79 cm, 67.13 kg
62, Female, Arunachal Pradesh, 9435658228, 151.86 cm, 77.21 kg
30, Male, Karnataka, 9684633328, 172.76 cm, 75.31 kg
98, Female, Rajasthan, 6753854281, 156.25 cm, 78.24 kg
60, Female, Kerala, 6877838242, 145.44 cm, 69.53 kg
32, Male, Himachal Pradesh, 6355841827, 156.54 cm, 73.48 kg
9, Female, Goa, 9118874876, 162.87 cm, 74.58 kg
5, Female, Mizoram, 7217482845, 156.11 cm, 60.49 kg
65, Female, Tripura, 7536512456, 154.24 cm, 76.01 kg
11, Male, Uttar Pradesh, 9543581446, 170.5 cm, 66.44 kg
51, Male, Maharashtra, 9554163328, 143.53 cm, 70.41 kg
80, Female, Manipur, 8786654125, 171.63 cm, 74.33 kg
33, Male, Uttar Pradesh, 6628131376, 159.26 cm, 77.32 kg
15, Female, Punjab, 7788716235, 151.02 cm, 67.59 kg
71, Male, Andhra Pradesh, 8238254613, 161.16 cm, 77.12 kg
60, Female, Assam, 7746142576, 183.09 cm, 72.64 kg
27, Male, Bihar, 6185124558, 149.17 cm, 71.13 kg
21, Female, Mizoram, 6371431825, 153.93 cm, 74.9 kg
92, Female, Andhra Pradesh, 9423455548, 155.75 cm, 73.39 kg
47, Female, Uttarakhand, 9111468873, 160.82 cm, 68.95 kg
54, Female, Odisha, 6758713123, 163.83 cm, 65.37 kg
62, Male, Maharashtra, 7546117528, 154.18 cm, 72.36 kg
33, Male, Mizoram, 7387714235, 153.24 cm, 69.18 kg
79, Male, Bihar, 6123162367, 152.29 cm, 70.33 kg
20, Female, West Bengal, 6745426842, 162.9 cm, 75.05 kg
98, Female, Meghalaya, 6561778525, 166.06 cm, 66.07 kg
1, Female, Tripura, 8832126447, 165.01 cm, 71.16 kg
81, Male, Punjab, 6818824451, 174.98 cm, 65.59 kg
90, Female, Arunachal Pradesh, 6167768454, 133.97 cm, 84.55 kg
